raw_stage,target,k,R2,MSE,WAIC,alpha_fixed,feature_added
12_to_14,y_half,11,-0.206185939666633,0.25171566169861637,657.8719533294823,23.032457561695423,mother_y_adj_xi_xj_pow3
12_to_14,y_half,12,-0.21177243894825137,0.2528814930327472,661.8866431126654,23.032457561695423,mother_2d_couple_yz_xi_xj_pow3
12_to_14,y_half,13,-0.45552851809053174,0.3037502859249255,743.7988874015937,23.032457561695423,mother_z_adj_xi_xj_pow3
12_to_14,y_half,14,-0.37874700173806897,0.28772696020101185,722.1703206755465,23.032457561695423,mother_3d_couple_prod_sq_xyz
12_to_14,y_half,15,-0.3787470038952889,0.28772696065119624,724.1703213577223,23.032457561695423,mother_3d_couple_prod_sq_xy2z
12_to_14,y_half,16,-0.3787470038952889,0.28772696065119624,726.1703213577223,23.032457561695423,mother_x
12_to_14,y_half,17,-0.3787470038952889,0.28772696065119624,728.1703213577223,23.032457561695423,mother_x_x
12_to_14,y_half,18,-0.3787470038952889,0.28772696065119624,730.1703213577223,23.032457561695423,mother_2d_couple_xz_xi_xj
12_to_14,y_half,19,-0.38261386856249824,0.2885339261167982,733.3914251357592,23.032457561695423,mother_2d_couple_xy_xi_xj_pow3
12_to_14,y_half,20,-0.11575024703147241,0.2328428830794893,641.8917617070382,23.032457561695423,mother_2d_couple_xy_xi_xj_pow2
12_to_14,z_mean,1,-8.750196969476239,49.64062979782132,2941.8114072910475,4397.103689591429,mother_z
12_to_14,z_mean,2,-8.750196969476239,49.64062979782132,2943.8114072910475,4397.103689591429,mother_x_adj_xj
12_to_14,z_mean,3,-8.750196969476239,49.64062979782132,2945.8114072910475,4397.103689591429,mother_y_adj_xj_pow2
12_to_14,z_mean,4,-8.750196969476239,49.64062979782132,2947.8114072910475,4397.103689591429,mother_x_adj_xi_xj
12_to_14,z_mean,5,-8.750196969476239,49.64062979782132,2949.8114072910475,4397.103689591429,mother_y_adj_xi2_xj
12_to_14,z_mean,6,-8.750196969476239,49.64062979782132,2951.8114072910475,4397.103689591429,mother_x_adj_xj_pow2
12_to_14,z_mean,7,-8.750196969476239,49.64062979782132,2953.8114072910475,4397.103689591429,mother_2d_couple_xz_xi_xj
12_to_14,z_mean,8,-8.750196969476239,49.64062979782132,2955.8114072910475,4397.103689591429,mother_x_x
12_to_14,z_mean,9,-8.750196969476239,49.64062979782132,2957.8114072910475,4397.103689591429,mother_2d_couple_xy_xi_xj2
12_to_14,z_mean,10,-8.750196969476239,49.64062979782132,2959.8114072910475,4397.103689591429,mother_y_adj_xj_pow3
12_to_14,z_mean,11,-8.750196969476239,49.64062979782132,2961.8114072910475,4397.103689591429,mother_2d_couple_xz_xj_minus_xi_pow2
12_to_14,z_mean,12,-8.750196969476239,49.64062979782132,2963.8114072910475,4397.103689591429,mother_y_adj_xi_xj_pow3
12_to_14,z_mean,13,-2.767329757103732,19.180394240666136,2551.2098410286344,4397.103689591429,mother_2d_couple_xz_xi_xj_pow3
12_to_14,z_mean,14,-2.767329757103732,19.180394240666136,2553.2098410286344,4397.103689591429,mother_3d_couple_prod_sq_xy2z
12_to_14,z_mean,15,-2.767329757103732,19.180394240666136,2555.2098410286344,4397.103689591429,mother_3d_couple_prod_sq_xyz2
12_to_14,z_mean,16,-2.767329757103732,19.180394240666136,2557.2098410286344,4397.103689591429,mother_x
12_to_14,z_mean,17,-2.767329757103732,19.180394240666136,2559.2098410286344,4397.103689591429,mother_z_z
12_to_14,z_mean,18,-0.6233961342559515,8.265105491519405,2194.1649287028595,4397.103689591429,mother_2d_couple_xy_xi_xj_pow3
12_to_14,z_mean,19,-0.6233961342559515,8.265105491519405,2196.1649287028595,4397.103689591429,mother_2d_couple_xy_xj_minus_xi_pow2
12_to_14,z_mean,20,-0.6233961342559515,8.265105491519405,2198.1649287028595,4397.103689591429,mother_2d_couple_xy_xi_xj_pow2
12_to_14,z_half,1,-7.476031151688096,2.363508194810037,1614.338509731838,41.73039610582396,mother_y_adj_xj
12_to_14,z_half,2,-7.476031151688096,2.363508194810037,1616.338509731838,41.73039610582396,mother_z_adj_xj
12_to_14,z_half,3,-7.476031151688096,2.363508194810037,1618.338509731838,41.73039610582396,mother_y_y
12_to_14,z_half,4,-1.9624257434456251,0.8260608527560072,1162.0005402154757,41.73039610582396,mother_x_adj_xj_minus_xi_pow2
12_to_14,z_half,5,-0.6554493179577265,0.4616155791624859,910.2764540479582,41.73039610582396,mother_x_adj_xj_pow2
12_to_14,z_half,6,-0.6554493179577265,0.4616155791624859,912.2764540479582,41.73039610582396,mother_y_adj_xj_pow3
12_to_14,z_half,7,-0.6554493179577265,0.4616155791624859,914.2764540479582,41.73039610582396,mother_y_adj_xi2_xj
12_to_14,z_half,8,-0.6554493179577265,0.4616155791624859,916.2764540479582,41.73039610582396,mother_x_adj_xi_xj
12_to_14,z_half,9,-0.7886855696262913,0.49876798776373416,952.0265898132657,41.73039610582396,mother_x_adj_xi2_xj
12_to_14,z_half,10,-0.7886855696262913,0.49876798776373416,954.0265898132657,41.73039610582396,mother_z_adj_xi_xj
12_to_14,z_half,11,-0.7886855696262913,0.49876798776373416,956.0265898132657,41.73039610582396,mother_y_y_y
12_to_14,z_half,12,-0.7886855696262913,0.49876798776373416,958.0265898132657,41.73039610582396,mother_2d_couple_xz_xi_xj
12_to_14,z_half,13,-0.7888093401192304,0.4988025006824697,960.0567583732801,41.73039610582396,mother_2d_couple_yz_xi_xj_pow2
12_to_14,z_half,14,-0.6266048410566945,0.453572409392278,920.6126464913035,41.73039610582396,mother_z_adj_xj_pow3
12_to_14,z_half,15,-0.5482497740590899,0.4317234048712358,901.0874101925792,41.73039610582396,mother_3d_couple_prod_xyz
12_to_14,z_half,16,-0.5482497740590901,0.43172340487123584,903.0874101925792,41.73039610582396,mother_z_adj_xj_pow2
12_to_14,z_half,17,-0.5482495577459952,0.43172334455317385,905.0873492770103,41.73039610582396,mother_y_adj_xi_xj_pow3
12_to_14,z_half,18,-0.380078726099933,0.3848295647156227,856.9541379069361,41.73039610582396,mother_x_adj_xj_minus_xi_pow3
12_to_14,z_half,19,-0.380078726099933,0.3848295647156227,858.9541379069361,41.73039610582396,mother_2d_couple_yz_xi_xj2
12_to_14,z_half,20,-0.7778840427784581,0.4957560241731768,971.385687985402,41.73039610582396,mother_z_adj_xi_xj_pow3
14_to_15,x_mean,1,-7.796401812384991,4.155441211863048,794.7869959690972,5.259310401485922,mother_x_adj_xj
14_to_15,x_mean,2,-1.4349944553156688,1.150297192657835,557.8889171060105,5.259310401485922,mother_x
14_to_15,x_mean,3,-1.4349944553156688,1.150297192657835,559.8889171060105,5.259310401485922,mother_x_adj_xj_minus_xi
